desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14
0_3_400_0x1d00_135_200000,968.5176818799991,9.95695969968164,1.7013097588416268,1.5745193962533337,0.9985603185212303,0.3322609725626645,0.3920561114309315,0.0422926106300953,0.0016843259151521498,0.00021787886095525006,6.437187426595798e-05,4.357854833800775e-05,2.3253782949321444e-05,5.8269930553794294e-06,1.5811142673198851e-06,3.1498950078939604e-07
0_15_100_0x1d00_135_200000,1044.4687467199983,9.999913811163886,1.6392706948663822,1.5602786018628036,0.9981063453648714,0.3669409110768427,0.4344736958105223,0.0006678620266414655,0.00023225594893245763,7.645320560707552e-05,1.721064223758275e-05,1.1342839661458077e-05,7.45002986934398e-06,3.0682355932078208e-06,2.3462305405275436e-07,6.230309555199864e-08
0_12_20_0x1d00_135_200000,1072.3443871,9.998369444068977,2.229502227985064,0.9452576782333659,1.0016315050581546,0.5437997837504919,0.27899663016616355,0.0020275987096884016,0.0002405367910189663,0.00012273361732823996,3.864008617021151e-05,1.0607793176189791e-05,2.0088177751746967e-06,5.232393847516979e-07,8.168315390858523e-08,7.233998722039773e-14
0_14_30_0x1d00_135_200000,1069.2447758999988,9.99573494482712,2.036538811155933,1.06849645139998,0.9957880811283011,0.5449336453108435,0.3538089507677008,0.0038882065121379874,0.0006347886246737644,0.00012666752762997737,4.041453015517085e-05,6.699471610123421e-06,1.3010972118768122e-06,8.856875549027534e-07,1.5195911908479808e-07,3.648959116720011e-14
0_14_200_0x1d00_135_200000,977.9556561600002,9.997237162755027,1.6934335530545992,1.5343849217720347,0.9988569436588264,0.3344817828311288,0.4369131675990443,0.003815457448527177,0.0007343646973107762,6.421754348457838e-05,4.658268101841534e-05,2.2128598852411113e-05,4.541043037172556e-06,3.629917741644138e-06,1.3780255694950877e-06,1.6837378297495787e-07
0_4_300_0x1d00_135_200000,952.9624771800009,9.99566109317585,1.6973780009549304,1.548833467358233,0.9994551971821193,0.347599540545306,0.40455854764856103,0.00459235671867815,0.0012161517070359356,0.0005741721006663758,6.230698731197134e-05,4.2318119461219004e-05,1.7995162652977377e-05,6.878193911489081e-06,1.7027708365776917e-07,1.803868199525487e-06
0_11_20_0x1d00_135_200000,1091.5071931399998,9.993461865159077,2.225072192784731,0.9433020945682293,0.9992723188455158,0.5474928186924443,0.2838805121448842,0.007120774962216478,0.00023138507253879872,0.00013742494008939506,1.8920599927863675e-05,8.234928068643e-06,9.935671080828352e-07,4.0250371957563184e-07,6.12313867976285e-08,5.923615235486564e-14
0_10_2_0x1d00_135_200000,1079.290845919997,9.998425056069827,1.9452017677198001,1.1278289470556742,0.9982953054239148,0.5482391562536383,0.3797661849748435,0.0019950987960576276,0.00011681532620952848,9.476409614346986e-05,2.6066635483573625e-05,7.061283937137036e-06,2.6668635394042836e-06,9.863848542913566e-07,1.2311342713456975e-07,2.665772102743188e-12
0_7_40_0x1d00_135_200000,1078.2022280399979,9.996556780692085,1.8715530398872298,1.2107761005537276,0.9978708625015208,0.5082856617469466,0.40947600753741464,0.0051142631833164766,0.00023105794222160305,8.795457673998687e-05,3.4783164123161156e-05,1.1542190598021733e-05,1.2543749876353558e-06,5.61542903461437e-07,1.2837063942083839e-07,1.735557161868686e-09
0_13_400_0x1d00_135_200000,968.4783110799999,9.966351338316318,1.709012688699958,1.539639906479331,0.9982946311692218,0.34898798375998796,0.3982507820831627,0.037404672860781606,0.0014454565605169247,0.00037647897763571286,0.00015763888618799406,3.6962153714895016e-05,2.875201999600023e-05,8.100152087834941e-06,3.921505744927722e-06,6.863753538834325e-07
